geneId	symbol	chromosome	Synonyms	type_of_gene
80	ACTG1P8	1	ACTGP8	pseudo
81	ACTN4	19	ACTININ-4|FSGS|FSGS1	protein-coding
82	ACTG1P9	6	ACTGP9	pseudo
83	ACTG1P10	X	ACTGP10|ACTL1|ACTP1	pseudo
86	ACTL6A	3	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	protein-coding
87	ACTN1	14	BDPLT15	protein-coding
88	ACTN2	1	CMD1AA|CMH23	protein-coding
89	ACTN3	11	-	protein-coding
90	ACVR1	2	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	protein-coding
91	ACVR1B	12	ACTRIB|ACVRLK4|ALK4|SKR2	protein-coding
92	ACVR2A	2	ACTRII|ACVR2	protein-coding
93	ACVR2B	3	ACTRIIB|ActR-IIB|HTX4	protein-coding
94	ACVRL1	12	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	protein-coding
95	ACY1	3	ACY-1|ACY1D|HEL-S-5	protein-coding
97	ACYP1	14	ACYPE	protein-coding
98	ACYP2	2	ACYM|ACYP	protein-coding
100	ADA	20	-	protein-coding
101	ADAM8	10	CD156|CD156a|MS2	protein-coding
102	ADAM10	15	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	protein-coding
103	ADAR	1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	protein-coding
104	ADARB1	21	ADAR2|DRABA2|DRADA2|RED1	protein-coding
105	ADARB2	10	ADAR3|RED2	protein-coding
106	ADCP1	6	-	unknown
107	ADCY1	7	AC1|DFNB44	protein-coding
108	ADCY2	5	AC2|HBAC2	protein-coding
109	ADCY3	2	AC-III|AC3	protein-coding
111	ADCY5	3	AC5|FDFM	protein-coding
112	ADCY6	12	AC6|LCCS8	protein-coding
113	ADCY7	16	AC7	protein-coding
114	ADCY8	8	AC8|ADCY3|HBAC1	protein-coding
115	ADCY9	16	AC9|ACIX	protein-coding
116	ADCYAP1	18	PACAP	protein-coding
117	ADCYAP1R1	7	PAC1|PAC1R|PACAPR|PACAPRI	protein-coding
118	ADD1	4	ADDA	protein-coding
119	ADD2	2	ADDB	protein-coding
120	ADD3	10	ADDL|CPSQ3	protein-coding
122	ADFN	X	ALDS	unknown
123	PLIN2	9	ADFP|ADRP	protein-coding
124	ADH1A	4	ADH1	protein-coding
125	ADH1B	4	ADH2|HEL-S-117	protein-coding
126	ADH1C	4	ADH3	protein-coding
127	ADH4	4	ADH-2|HEL-S-4	protein-coding
128	ADH5	4	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	protein-coding
130	ADH6	4	ADH-5	protein-coding
131	ADH7	4	ADH4	protein-coding
132	ADK	10	AK	protein-coding
133	ADM	11	AM|PAMP	protein-coding
134	ADORA1	1	RDC7	protein-coding
135	ADORA2A	22	A2aR|ADORA2|RDC8	protein-coding
136	ADORA2B	17	ADORA2	protein-coding
137	ADORA2BP1	1	ADORA2BP	pseudo
140	ADORA3	1	A3AR	protein-coding
141	ADPRH	3	ARH1	protein-coding
142	PARP1	1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	protein-coding
143	PARP4	13	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	protein-coding
144	PARP1P1	13	ADPRTP1|PPOLP1	pseudo
145	PARP1P2	14	ADPRTP2|PPOLP2	pseudo
146	ADRA1D	20	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	protein-coding
147	ADRA1B	5	ADRA1|ALPHA1BAR	protein-coding
148	ADRA1A	8	ADRA1C|ADRA1L1|ALPHA1AAR	protein-coding
150	ADRA2A	10	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	protein-coding
151	ADRA2B	2	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	protein-coding
152	ADRA2C	4	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	protein-coding
153	ADRB1	10	ADRB1R|B1AR|BETA1AR|RHR	protein-coding
154	ADRB2	5	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	protein-coding
155	ADRB3	8	BETA3AR	protein-coding
156	GRK2	11	ADRBK1|BARK1|BETA-ARK1	protein-coding
157	GRK3	22	ADRBK2|BARK2	protein-coding
158	ADSL	22	AMPS|ASASE|ASL	protein-coding
159	ADSS	1	ADEH|ADSS 2	protein-coding
160	AP2A1	19	ADTAA|AP2-ALPHA|CLAPA1	protein-coding
161	AP2A2	11	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	protein-coding
162	AP1B1	22	ADTB1|AP105A|BAM22|CLAPB2	protein-coding
163	AP2B1	17	ADTB2|AP105B|AP2-BETA|CLAPB1	protein-coding
164	AP1G1	16	ADTG|CLAPG1	protein-coding
165	AEBP1	7	ACLP	protein-coding
166	AES	19	AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5	protein-coding
167	CRISP1	6	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	protein-coding
169	AF8T	3	-	unknown
170	AFA	-	-	unknown
171	AFD1	9	AFDN	unknown
172	AFG3L1P	16	AFG3|AFG3L1	pseudo
173	AFM	4	ALB2|ALBA|ALF	protein-coding
174	AFP	4	AFPD|FETA|HPAFP	protein-coding
175	AGA	4	AGU|ASRG|GA	protein-coding
176	ACAN	15	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK	protein-coding
177	AGER	6	RAGE|SCARJ1	protein-coding
178	AGL	1	GDE	protein-coding
179	AGMX2	X	IMD6|XLA2	unknown
181	AGRP	16	AGRT|ART|ASIP2	protein-coding
182	JAG1	20	AGS|AGS1|AHD|AWS|CD339|HJ1|JAGL1	protein-coding
183	AGT	1	ANHU|SERPINA8|hFLT1	protein-coding
185	AGTR1	3	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	protein-coding
186	AGTR2	X	AT2|ATGR2|MRX88	protein-coding
187	APLNR	11	AGTRL1|APJ|APJR|HG11	protein-coding
189	AGXT	2	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	protein-coding
190	NR0B1	X	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	protein-coding
191	AHCY	20	SAHH|adoHcyase	protein-coding
192	AIC	X	-	unknown
196	AHR	7	bHLHe76	protein-coding
197	AHSG	3	A2HS|AHS|FETUA|HSGA	protein-coding
199	AIF1	6	AIF-1|IBA1|IRT-1|IRT1	protein-coding
201	AIH3	X	-	unknown
202	CRYBG1	6	AIM1|ST4	protein-coding
203	AK1	9	HTL-S-58j	protein-coding
204	AK2	1	ADK2	protein-coding
205	AK4	1	AK 4|AK3|AK3L1|AK3L2	protein-coding
206	AK4P1	17	AK3P1	pseudo
207	AKT1	14	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	protein-coding
208	AKT2	19	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	protein-coding
210	ALAD	9	ALADH|PBGS	protein-coding
211	ALAS1	3	ALAS|ALAS-H|ALAS3|ALASH|MIG4	protein-coding
212	ALAS2	X	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	protein-coding
213	ALB	4	HSA|PRO0883|PRO0903|PRO1341	protein-coding
214	ALCAM	3	CD166|MEMD	protein-coding
215	ABCD1	X	ABC42|ALD|ALDP|AMN	protein-coding
216	ALDH1A1	9	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	protein-coding
217	ALDH2	12	ALDH-E2|ALDHI|ALDM	protein-coding
218	ALDH3A1	17	ALDH3|ALDHIII	protein-coding
219	ALDH1B1	9	ALDH5|ALDHX	protein-coding
220	ALDH1A3	15	ALDH1A6|ALDH6|MCOP8|RALDH3	protein-coding
221	ALDH3B1	11	ALDH4|ALDH7	protein-coding
222	ALDH3B2	11	ALDH8	protein-coding
223	ALDH9A1	1	ALDH4|ALDH7|ALDH9|E3|TMABADH	protein-coding
224	ALDH3A2	17	ALDH10|FALDH|SLS	protein-coding
225	ABCD2	12	ABC39|ALDL1|ALDR|ALDRP|hALDR	protein-coding
226	ALDOA	16	ALDA|GSD12|HEL-S-87p	protein-coding
228	ALDOAP2	10	-	pseudo
229	ALDOB	9	ALDB|ALDO2	protein-coding
230	ALDOC	17	ALDC	protein-coding
231	AKR1B1	7	ADR|ALDR1|ALR2|AR	protein-coding
236	AKR1B1P2	3	ALDRP	pseudo
238	ALK	2	CD246|NBLST3	protein-coding
239	ALOX12	17	12-LOX|12S-LOX|LOG12	protein-coding
240	ALOX5	10	5-LO|5-LOX|5LPG|LOG5	protein-coding
241	ALOX5AP	13	FLAP	protein-coding
242	ALOX12B	17	12R-LOX|ARCI2	protein-coding
243	ALOX12P1	17	ALOX12P	pseudo
245	ALOX12P2	17	ALOX12E	pseudo
246	ALOX15	17	12-LOX|15-LOX-1|15LOX-1	protein-coding
247	ALOX15B	17	15-LOX-2	protein-coding
248	ALPI	2	IAP	protein-coding
249	ALPL	1	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	protein-coding
250	ALPP	2	ALP|PALP|PLAP|PLAP-1	protein-coding
251	ALPPL2	2	ALPG|ALPPL|GCAP	protein-coding
253	ALS3	18	ALS6	unknown
255	ALS5	15	-	unknown
257	ALX3	1	FND|FND1	protein-coding
258	AMBN	4	AI1F	protein-coding
259	AMBP	9	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	protein-coding
261	AMCN	5	AMC|AMC1|AMCN1	unknown
262	AMD1	6	ADOMETDC|AMD|SAMDC	protein-coding
263	AMD1P2	X|Y	AMD|AMD2|AMDP1|AMDPX|AMDPY	pseudo
265	AMELX	X	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	protein-coding
266	AMELY	Y	AMGL|AMGY	protein-coding
267	AMFR	16	GP78|RNF45	protein-coding
268	AMH	19	MIF|MIS	protein-coding
269	AMHR2	12	AMHR|MISR2|MISRII|MRII	protein-coding
270	AMPD1	1	MAD|MADA|MMDD	protein-coding
271	AMPD2	1	PCH9|SPG63	protein-coding
272	AMPD3	11	-	protein-coding
273	AMPH	7	AMPH1	protein-coding
274	BIN1	2	AMPH2|AMPHL|SH3P9	protein-coding
275	AMT	3	GCE|GCST|GCVT|NKH	protein-coding
276	AMY1A	1	AMY1	protein-coding
277	AMY1B	1	AMY1	protein-coding
278	AMY1C	1	AMY1	protein-coding
279	AMY2A	1	AMY2|PA	protein-coding
280	AMY2B	1	AMY2|AMY3|HXA	protein-coding
281	AMYP1	1	AMY2P	pseudo
282	ANCR	15	-	other
283	ANG	14	ALS9|HEL168|RAA1|RNASE4|RNASE5	protein-coding
284	ANGPT1	8	AGP1|AGPT|ANG1	protein-coding
285	ANGPT2	8	AGPT2|ANG2	protein-coding
286	ANK1	8	ANK|SPH1|SPH2	protein-coding
287	ANK2	4	ANK-2|LQT4|brank-2	protein-coding
288	ANK3	10	ANKYRIN-G|MRT37	protein-coding
289	ANOP1	X	MCOPS4	unknown
290	ANPEP	15	APN|CD13|GP150|LAP1|P150|PEPN	protein-coding
291	SLC25A4	4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	protein-coding
292	SLC25A5	X	2F1|AAC2|ANT2|T2|T3	protein-coding
293	SLC25A6	X|Y	AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	protein-coding
301	ANXA1	9	ANX1|LPC1	protein-coding
302	ANXA2	15	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	protein-coding
303	ANXA2P1	4	ANX2L1|ANX2P1|LPC2A	pseudo
304	ANXA2P2	9	ANX2L2|ANX2P2|LPC2B	pseudo
305	ANXA2P3	10	ANX2L3|ANX2P3|LIP2|LPC2C	pseudo
306	ANXA3	4	ANX3	protein-coding
307	ANXA4	2	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	protein-coding
308	ANXA5	4	ANX5|ENX2|HEL-S-7|PP4|RPRGL3	protein-coding
309	ANXA6	5	ANX6|CBP68	protein-coding
310	ANXA7	10	ANX7|SNX|SYNEXIN	protein-coding
311	ANXA11	10	ANX11|CAP50	protein-coding
312	ANXA13	8	ANX13|ISA	protein-coding
313	AOAH	7	-	protein-coding
314	AOC2	17	DAO2|RAO|SSAO	protein-coding
316	AOX1	2	AO|AOH1	protein-coding
317	APAF1	12	APAF-1|CED4	protein-coding
318	NUDT2	9	APAH1	protein-coding
319	APOF	12	Apo-F|LTIP	protein-coding
320	APBA1	9	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	protein-coding
321	APBA2	15	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	protein-coding
322	APBB1	11	FE65|MGC:9072|RIR	protein-coding
323	APBB2	4	FE65L|FE65L1	protein-coding
324	APC	5	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	protein-coding
325	APCS	1	HEL-S-92n|PTX2|SAP	protein-coding
326	AIRE	21	AIRE1|APECED|APS1|APSI|PGA1	protein-coding
327	APEH	3	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	protein-coding
328	APEX1	14	APE|APE1|APEN|APEX|APX|HAP1|REF1	protein-coding
329	BIRC2	11	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	protein-coding
330	BIRC3	11	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	protein-coding
331	XIAP	X	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	protein-coding
332	BIRC5	17	API4|EPR-1	protein-coding
333	APLP1	19	APLP	protein-coding
334	APLP2	11	APLP-2|APPH|APPL2|CDEBP	protein-coding
335	APOA1	11	apo(a)	protein-coding
336	APOA2	1	Apo-AII|ApoA-II|apoAII	protein-coding
337	APOA4	11	-	protein-coding
338	APOB	2	FLDB|LDLCQ4|apoB-100|apoB-48	protein-coding
339	APOBEC1	12	APOBEC-1|BEDP|CDAR1|HEPR	protein-coding
341	APOC1	19	Apo-CI|ApoC-I|apo-CIB|apoC-IB	protein-coding
342	APOC1P1	19	-	pseudo
343	AQP8	16	AQP-8	protein-coding
344	APOC2	19	APO-CII|APOC-II	protein-coding
345	APOC3	11	APOCIII|HALP2	protein-coding
346	APOC4	19	APO-CIV|APOC-IV	protein-coding
347	APOD	3	-	protein-coding
348	APOE	19	AD2|APO-E|ApoE4|LDLCQ5|LPG	protein-coding
350	APOH	17	B2G1|B2GP1|BG	protein-coding
351	APP	21	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	protein-coding
353	APRT	16	AMP|APRTD	protein-coding
354	KLK3	19	APS|KLK2A1|PSA|hK3	protein-coding
355	FAS	10	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	protein-coding
356	FASLG	1	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	protein-coding
357	SHROOM2	X	APXL|HSAPXL	protein-coding
358	AQP1	7	AQP-CHIP|CHIP28|CO	protein-coding
359	AQP2	12	AQP-CD|WCH-CD	protein-coding
360	AQP3	9	AQP-3|GIL	protein-coding
361	AQP4	18	MIWC|WCH4	protein-coding
362	AQP5	12	AQP-5|PPKB	protein-coding
363	AQP6	12	AQP2L|KID	protein-coding
364	AQP7	9	AQP7L|AQPap|GLYCQTL	protein-coding
366	AQP9	15	AQP-9|HsT17287|SSC1|T17287	protein-coding
367	AR	X	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	protein-coding
368	ABCC6	16	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	protein-coding
369	ARAF	X	A-RAF|ARAF1|PKS2|RAFA1	protein-coding
372	ARCN1	11	COPD|SRMMD	protein-coding
373	TRIM23	5	ARD1|ARFD1|RNF46	protein-coding
374	AREG	4	AR|AREGB|CRDGF|SDGF	protein-coding
375	ARF1	1	-	protein-coding
377	ARF3	12	-	protein-coding
378	ARF4	3	ARF2	protein-coding
379	ARL4D	17	ARF4L|ARL6	protein-coding
380	ARF4P1	9	ARF4P	pseudo
381	ARF5	7	-	protein-coding
382	ARF6	14	-	protein-coding
383	ARG1	6	-	protein-coding
384	ARG2	14	-	protein-coding
387	RHOA	3	ARH12|ARHA|RHO12|RHOH12	protein-coding
388	RHOB	2	ARH6|ARHB|MST081|MSTP081|RHOH6	protein-coding
389	RHOC	1	ARH9|ARHC|H9|RHOH9	protein-coding
390	RND3	2	ARHE|Rho8|RhoE|memB	protein-coding
391	RHOG	11	ARHG	protein-coding
392	ARHGAP1	11	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	protein-coding
393	ARHGAP4	X	C1|RGC1|RhoGAP4|SrGAP4|p115	protein-coding
394	ARHGAP5	14	GFI2|RhoGAP5|p190-B|p190BRhoGAP	protein-coding
395	ARHGAP6	X	RHOGAP6|RHOGAPX-1	protein-coding
396	ARHGDIA	17	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	protein-coding
397	ARHGDIB	12	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	protein-coding
398	ARHGDIG	16	RHOGDI-3	protein-coding
399	RHOH	4	ARHH|TTF	protein-coding
400	ARL1	12	ARFL1	protein-coding
401	PHOX2A	11	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	protein-coding
402	ARL2	11	ARFL2	protein-coding
403	ARL3	10	ARFL3	protein-coding
405	ARNT	1	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	protein-coding
406	ARNTL	11	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	protein-coding
407	ARR3	X	ARRX|cArr	protein-coding
408	ARRB1	11	ARB1|ARR1	protein-coding
409	ARRB2	17	ARB2|ARR2|BARR2	protein-coding
410	ARSA	22	MLD	protein-coding
411	ARSB	5	ASB|G4S|MPS6	protein-coding
412	STS	X	ARSC|ARSC1|ASC|ES|SSDD|XLI	protein-coding
413	ARSC2	X	ARSC	unknown
414	ARSD	X	ASD	protein-coding
415	ARSE	X	ASE|CDPX|CDPX1|CDPXR	protein-coding
416	ARSF	X	ASF	protein-coding
417	ART1	11	ART2|ARTC1|CD296|RT6	protein-coding
418	ART2P	11	ART1P|RT6	pseudo
419	ART3	4	ARTC3	protein-coding
420	ART4	12	ARTC4|CD297|DO|DOK1	protein-coding
421	ARVCF	22	-	protein-coding
424	ARVD3	14	ARVD2	unknown
425	ARVD4	2	-	unknown
427	ASAH1	8	AC|ACDase|ASAH|PHP|PHP32|SMAPME	protein-coding
429	ASCL1	12	ASH1|HASH1|MASH1|bHLHa46	protein-coding
430	ASCL2	11	ASH2|HASH2|MASH2|bHLHa45	protein-coding
431	ASD1	5	-	unknown
432	ASGR1	17	ASGPR|ASGPR1|CLEC4H1|HL-1	protein-coding
433	ASGR2	17	ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2	protein-coding
434	ASIP	20	AGSW|AGTI|AGTIL|ASP|SHEP9	protein-coding
435	ASL	7	ASAL	protein-coding
436	ASLP1	22	ASLL	pseudo
438	ASMT	X|Y	ASMTY|HIOMT|HIOMTY	protein-coding
439	ASNA1	19	ARSA-I|ARSA1|ASNA-I|GET3|TRC40	protein-coding
440	ASNS	7	ASNSD|TS11	protein-coding
442	ASNSP2	21	ASNSL2	pseudo
443	ASPA	17	ACY2|ASP	protein-coding
444	ASPH	8	AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin	protein-coding
445	ASS1	9	ASS|CTLN1	protein-coding
447	ASS1P2	2	ASSP2	pseudo
449	ASS1P4	X	ASSP4	pseudo
450	ASS1P5	X	ASSP5	pseudo
451	ASS1P6	Y	ASSP6	pseudo
453	ASS1P8	4	ASSP8	pseudo
454	ASS1P9	5	ASSP9	pseudo
455	ASS1P10	5	ASSP10	pseudo
459	ASS1P14	12	ASSP14	pseudo
460	ASTN1	1	ASTN	protein-coding
462	SERPINC1	1	AT3|AT3D|ATIII|THPH7	protein-coding
463	ZFHX3	16	ATBF1|ATBT|ZNF927	protein-coding
465	ATD	15	ATD1	unknown
466	ATF1	12	EWS-ATF1|FUS/ATF-1|TREB36	protein-coding
467	ATF3	1	-	protein-coding
468	ATF4	22	CREB-2|CREB2|TAXREB67|TXREB	protein-coding
469	ATF4P1	X	ATF4P|TAXREB67P|TXREBP	pseudo
470	ATHS	19	ALP	unknown
471	ATIC	2	AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH	protein-coding
472	ATM	11	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	protein-coding
473	RERE	1	ARG|ARP|ATN1L|DNB1|NEDBEH	protein-coding
474	ATOH1	4	ATH1|HATH1|MATH-1|bHLHa14	protein-coding
475	ATOX1	5	ATX1|HAH1	protein-coding
476	ATP1A1	1	-	protein-coding
477	ATP1A2	1	FHM2|MHP2	protein-coding
478	ATP1A3	19	AHC2|ATP1A1|CAPOS|DYT12|RDP	protein-coding
479	ATP12A	13	ATP1AL1|HK	protein-coding
480	ATP1A4	1	ATP1A1|ATP1AL2	protein-coding
481	ATP1B1	1	ATP1B	protein-coding
482	ATP1B2	17	AMOG	protein-coding
483	ATP1B3	3	ATPB-3|CD298	protein-coding
484	ATP1B3P1	2	-	pseudo
485	ATP1B1P1	4	ATP1BL1	pseudo
486	FXYD2	11	ATP1G1|HOMG2	protein-coding
487	ATP2A1	16	ATP2A|SERCA1	protein-coding
488	ATP2A2	12	ATP2B|DAR|DD|SERCA2	protein-coding
489	ATP2A3	17	SERCA3	protein-coding
490	ATP2B1	12	PMCA1|PMCA1kb	protein-coding
491	ATP2B2	3	PMCA2|PMCA2a|PMCA2i	protein-coding
492	ATP2B3	X	CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1	protein-coding
493	ATP2B4	1	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	protein-coding
495	ATP4A	19	ATP6A	protein-coding
496	ATP4B	13	ATP6B	protein-coding
498	ATP5A1	18	ATP5A|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	protein-coding
501	ALDH7A1	5	ATQ1|EPD|PDE	protein-coding
504	ATP5A1P2	2	ATP5AP2	pseudo
506	ATP5B	12	ATPMB|ATPSB|HEL-S-271	protein-coding
507	ATP5BP1	2	ATP5BL1|ATPMBL1|ATPSBL1	pseudo
509	ATP5C1	10	ATP5C|ATP5CL1	protein-coding
513	ATP5D	19	-	protein-coding
514	ATP5E	20	ATPE|MC5DN3	protein-coding
515	ATP5F1	1	PIG47	protein-coding
516	ATP5G1	17	ATP5A|ATP5G	protein-coding
517	ATP5G2	12	ATP5A	protein-coding
518	ATP5G3	2	P3	protein-coding
520	ATP5G2P1	1	ATP5GP1	pseudo
521	ATP5I	4	ATP5K	protein-coding
522	ATP5J	21	ATP5|ATP5A|ATPM|CF6|F6	protein-coding
